order_id,order_date,order_status,order_source,device_type,order_payment_method,customer_id,gender,age_group,acquisition_channel,signup_date,days_since_signup,city,region,district,total_line_items,distinct_products,total_quantity,gross_revenue,net_revenue,total_discount_amount,avg_unit_price,has_promotion,order_discount_rate_pct,payment_value,installments,payment_type,order_value_tier
317002,"2015-08-28","delivered","paid_search","mobile","credit_card",8267,"male","18-24","organic_search","2017-04-29",-610,"Thai Nguyen","East","District #01",1,1,4,8772.72,8772.72,0,2193.18,false,0,8772.72,3,"installment","low_value"
317003,"2015-08-30","delivered","paid_search","desktop","apple_pay",8268,"non-binary","25-34","social_media","2020-09-13",-1841,"Thai Nguyen","East","District #01",2,2,8,24045.85,23895.85,150,3272.645,true,0.62,23895.85,3,"installment","low_value"
317004,"2015-08-29","delivered","paid_search","mobile","paypal",4565,"male","35-44","social_media","2019-06-26",-1397,"Ninh Binh","East","District #04",1,1,1,2127.21,2077.21,50,2127.21,true,2.35,2077.21,12,"installment","low_value"
317006,"2015-08-26","delivered","organic_search","mobile","credit_card",4421,"male","55+","organic_search","2022-12-15",-2668,"Lao Cai","East","District #04",1,1,5,14151.4,13901.4,250,2830.28,true,1.77,13901.4,3,"installment","low_value"
317007,"2015-08-28","cancelled","email_campaign","mobile","bank_transfer",7848,"male","25-34","social_media","2021-03-07",-2018,"Phu Ly","East","District #03",1,1,4,8531.76,8331.76,200,2132.94,true,2.34,8331.76,12,"installment","low_value"
317008,"2015-08-29","created","organic_search","mobile","cod",48272,"male","45-54","organic_search","2019-01-30",-1250,"Bac Ninh","East","District #04",1,1,3,3253.23,3103.23,150,1084.41,true,4.61,3103.23,1,"one_time","low_value"
317009,"2015-08-28","delivered","paid_search","mobile","paypal",43549,"male","35-44","email_campaign","2021-02-02",-1985,"Phu Ly","East","District #05",1,1,4,21528.12,21328.12,200,5382.03,true,0.93,21328.12,1,"one_time","low_value"
317010,"2015-08-29","delivered","organic_search","mobile","credit_card",43924,"female","25-34","paid_search","2015-01-28",213,"Hanoi","East","District #05",1,1,3,3209.85,3209.85,0,1069.95,false,0,3209.85,3,"installment","low_value"
317011,"2015-08-29","delivered","email_campaign","mobile","paypal",43924,"female","25-34","paid_search","2015-01-28",213,"Hanoi","East","District #05",1,1,1,1090.16,1090.16,0,1090.16,false,0,1090.16,3,"installment","low_value"
317012,"2015-08-27","cancelled","social_media","mobile","bank_transfer",44077,"male","55+","organic_search","2021-01-30",-1983,"Bac Giang","East","District #05",1,1,3,6660.15,6510.15,150,2220.05,true,2.25,6510.15,1,"one_time","low_value"
317013,"2015-08-30","delivered","organic_search","mobile","credit_card",44255,"male","35-44","organic_search","2020-08-30",-1827,"Ha Long","East","District #05",1,1,3,3489.36,3489.36,0,1163.12,false,0,3489.36,3,"installment","low_value"
317014,"2015-08-29","delivered","referral","desktop","credit_card",45129,"female","55+","social_media","2020-12-29",-1949,"Hai Phong","East","District #13",1,1,5,25339.35,25089.35,250,5067.87,true,0.99,25089.35,3,"installment","low_value"
317015,"2015-08-29","delivered","social_media","mobile","credit_card",44516,"male","25-34","paid_search","2018-12-10",-1199,"Nam Dinh","East","District #05",1,1,5,15315.2,15065.2,250,3063.04,true,1.63,15065.2,6,"installment","low_value"
317016,"2015-08-30","delivered","paid_search","mobile","credit_card",44819,"female","45-54","social_media","2019-01-19",-1238,"Bac Giang","East","District #05",1,1,6,32675.52,32375.52,300,5445.92,true,0.92,32375.52,1,"one_time","low_value"
317017,"2015-08-28","delivered","paid_search","mobile","cod",65705,"female","25-34","social_media","2022-09-01",-2561,"Thai Nguyen","East","District #07",1,1,6,30409.38,30109.38,300,5068.23,true,0.99,30109.38,1,"one_time","low_value"
317018,"2015-08-30","delivered","referral","mobile","apple_pay",66455,"male","35-44","social_media","2021-04-09",-2049,"Thai Nguyen","East","District #07",1,1,5,15065.85,14815.85,250,3013.17,true,1.66,14815.85,1,"one_time","low_value"
317019,"2015-08-27","delivered","organic_search","desktop","credit_card",67196,"female","25-34","social_media","2014-02-19",554,"Ha Long","East","District #07",1,1,2,4269.14,4169.14,100,2134.57,true,2.34,4169.14,1,"one_time","low_value"
317020,"2015-08-29","delivered","organic_search","desktop","credit_card",67330,"female","35-44","organic_search","2020-03-23",-1668,"Son Tay","East","District #07",1,1,5,26287.25,26037.25,250,5257.45,true,0.95,26037.25,1,"one_time","low_value"
317022,"2015-08-29","delivered","organic_search","mobile","apple_pay",38315,"male","45-54","paid_search","2015-09-28",-30,"Nam Dinh","East","District #15",1,1,1,3944.85,3944.85,0,3944.85,false,0,3944.85,3,"installment","low_value"
317023,"2015-08-30","delivered","paid_search","mobile","credit_card",38314,"female","45-54","social_media","2022-09-28",-2586,"Nam Dinh","East","District #15",1,1,2,8072.5,8072.5,0,4036.25,false,0,8072.5,1,"one_time","low_value"
317025,"2015-08-30","delivered","paid_search","mobile","credit_card",50042,"male","35-44","paid_search","2018-11-04",-1162,"Thai Nguyen","East","District #08",1,1,5,23245.95,22995.95,250,4649.19,true,1.08,22995.95,6,"installment","low_value"
317026,"2015-08-30","delivered","organic_search","tablet","credit_card",50479,"female","18-24","email_campaign","2021-12-02",-2286,"Uong Bi","East","District #08",1,1,3,5895.99,5745.99,150,1965.33,true,2.54,5745.99,3,"installment","low_value"
317027,"2015-08-29","created","direct","desktop","cod",60275,"female","18-24","organic_search","2015-02-16",194,"Bac Ninh","East","District #11",1,1,4,15256.92,15056.92,200,3814.23,true,1.31,15056.92,1,"one_time","low_value"
317031,"2015-08-28","delivered","social_media","desktop","cod",51377,"male","25-34","email_campaign","2021-05-16",-2088,"Son Tay","East","District #08",1,1,7,11235.56,10885.56,350,1605.08,true,3.12,10885.56,1,"one_time","low_value"
317033,"2015-08-26","delivered","paid_search","desktop","cod",51560,"male","25-34","paid_search","2020-07-30",-1800,"Hai Phong","East","District #08",1,1,4,14816.24,14816.24,0,3704.06,false,0,14816.24,1,"one_time","low_value"
317034,"2015-08-30","returned","paid_search","desktop","credit_card",51565,"female","55+","organic_search","2022-11-30",-2649,"Bac Ninh","East","District #08",1,1,3,2278.14,2278.14,0,759.38,false,0,2278.14,3,"installment","low_value"
317036,"2015-08-26","delivered","paid_search","mobile","credit_card",51642,"female","35-44","email_campaign","2019-07-13",-1417,"Hanoi","East","District #08",1,1,5,14393.15,14143.15,250,2878.63,true,1.74,14143.15,6,"installment","low_value"
317037,"2015-08-27","delivered","paid_search","tablet","credit_card",52185,"female","25-34","referral","2019-03-02",-1283,"Phu Ly","East","District #08",1,1,3,15512.13,15362.13,150,5170.71,true,0.97,15362.13,3,"installment","low_value"
317038,"2015-08-26","returned","organic_search","desktop","credit_card",60825,"female","45-54","social_media","2016-02-04",-162,"Viet Tri","East","District #11",1,1,1,3636.98,3636.98,0,3636.98,false,0,3636.98,6,"installment","low_value"
317039,"2015-08-30","delivered","email_campaign","desktop","credit_card",72522,"male","35-44","paid_search","2021-04-25",-2065,"Lao Cai","East","District #19",1,1,2,6719.78,6619.78,100,3359.89,true,1.49,6619.78,3,"installment","low_value"
317041,"2015-08-29","delivered","social_media","desktop","credit_card",63025,"male","25-34","paid_search","2022-01-19",-2335,"Bac Giang","East","District #11",1,1,5,10687.5,10437.5,250,2137.5,true,2.34,10437.5,1,"one_time","low_value"
317042,"2015-08-30","delivered","organic_search","tablet","cod",63708,"male","35-44","social_media","2021-11-02",-2256,"Hanoi","East","District #11",1,1,8,46468.08,46068.08,400,5808.51,true,0.86,46068.08,1,"one_time","low_value"
317043,"2015-08-29","delivered","paid_search","desktop","credit_card",63712,"female","55+","social_media","2021-07-08",-2140,"Hanoi","East","District #11",1,1,5,26674.65,26424.65,250,5334.93,true,0.94,26424.65,3,"installment","low_value"
317044,"2015-08-26","shipped","social_media","desktop","credit_card",63805,"male","45-54","referral","2015-07-18",39,"Uong Bi","East","District #11",1,1,4,18575.48,18575.48,0,4643.87,false,0,18575.48,3,"installment","low_value"
317045,"2015-08-28","delivered","email_campaign","desktop","paypal",54016,"female","35-44","social_media","2021-09-08",-2203,"Lao Cai","East","District #09",1,1,5,11943.8,11693.8,250,2388.76,true,2.09,11693.8,6,"installment","low_value"
317046,"2015-08-30","delivered","email_campaign","mobile","paypal",54145,"female","45-54","organic_search","2021-03-16",-2025,"Thai Nguyen","East","District #09",1,1,7,11044.88,10694.88,350,1577.84,true,3.17,10694.88,3,"installment","low_value"
317047,"2015-08-30","delivered","organic_search","desktop","paypal",54546,"female","25-34","email_campaign","2018-08-27",-1093,"Ha Long","East","District #09",1,1,7,37430.47,37080.47,350,5347.21,true,0.94,37080.47,1,"one_time","low_value"
317053,"2015-08-30","delivered","organic_search","tablet","bank_transfer",23594,"female","18-24","organic_search","2022-08-04",-2531,"Bac Giang","East","District #09",1,1,6,31870.08,31570.08,300,5311.68,true,0.94,31570.08,1,"one_time","low_value"
317055,"2015-08-26","delivered","social_media","tablet","cod",22463,"female","55+","social_media","2019-12-26",-1583,"Thai Nguyen","East","District #12",1,1,3,6399.18,6249.18,150,2133.06,true,2.34,6249.18,1,"one_time","low_value"
317056,"2015-08-30","delivered","social_media","tablet","credit_card",22572,"female","25-34","email_campaign","2020-05-27",-1732,"Ninh Binh","East","District #12",1,1,3,11315.55,11315.55,0,3771.85,false,0,11315.55,3,"installment","low_value"
317058,"2015-08-27","delivered","organic_search","mobile","paypal",19373,"male","55+","organic_search","2022-07-25",-2524,"Hai Phong","East","District #10",1,1,6,38702.94,38402.94,300,6450.49,true,0.78,38402.94,1,"one_time","low_value"
317059,"2015-08-28","delivered","paid_search","desktop","bank_transfer",19799,"female","35-44","organic_search","2022-04-29",-2436,"Lao Cai","East","District #10",1,1,1,5681.07,5631.07,50,5681.07,true,0.88,5631.07,6,"installment","low_value"
317060,"2015-08-27","delivered","social_media","tablet","credit_card",20168,"female","25-34","referral","2017-02-15",-538,"Nam Dinh","East","District #10",1,1,8,8070.16,7670.16,400,1008.77,true,4.96,7670.16,3,"installment","low_value"
317064,"2015-08-26","delivered","organic_search","mobile","credit_card",53561,"male","35-44","social_media","2018-04-22",-970,"Uong Bi","East","District #09",1,1,2,7452.82,7452.82,0,3726.41,false,0,7452.82,3,"installment","low_value"
317065,"2015-08-29","cancelled","organic_search","mobile","apple_pay",53566,"male","25-34","paid_search","2021-02-03",-1985,"Lao Cai","East","District #09",1,1,4,8827.6,8627.6,200,2206.9,true,2.27,8627.6,3,"installment","low_value"
317066,"2015-08-30","paid","organic_search","desktop","paypal",73454,"male","25-34","organic_search","2017-02-12",-532,"Uong Bi","East","District #19",1,1,7,43607.76,43257.76,350,6229.68,true,0.8,43257.76,12,"installment","low_value"
317067,"2015-08-27","delivered","direct","mobile","apple_pay",73653,"female","35-44","organic_search","2020-03-19",-1666,"Cam Pha","East","District #19",1,1,3,6121.68,5971.68,150,2040.56,true,2.45,5971.68,6,"installment","low_value"
317068,"2015-08-26","delivered","organic_search","tablet","credit_card",75169,"female","45-54","social_media","2018-07-25",-1064,"Dong Hoi","Central","District #25",1,1,2,9115.66,9015.66,100,4557.83,true,1.1,9015.66,3,"installment","low_value"
317069,"2015-08-30","returned","organic_search","mobile","credit_card",75196,"female","45-54","paid_search","2020-07-21",-1787,"Hue","Central","District #25",2,2,6,25696.5,25696.5,0,4298.61,false,0,25696.5,3,"installment","low_value"
317071,"2015-08-29","delivered","organic_search","desktop","paypal",77410,"male","45-54","paid_search","2016-12-25",-484,"Phan Thiet","Central","District #25",1,1,8,5630.32,5630.32,0,703.79,false,0,5630.32,3,"installment","low_value"
317073,"2015-08-27","delivered","referral","mobile","credit_card",77412,"female","45-54","paid_search","2014-04-13",501,"Phan Thiet","Central","District #25",1,1,7,4952.71,4952.71,0,707.53,false,0,4952.71,3,"installment","low_value"
317074,"2015-08-26","delivered","organic_search","tablet","bank_transfer",77486,"female","55+","paid_search","2020-02-01",-1620,"Kon Tum","Central","District #25",1,1,5,26896.55,26646.55,250,5379.31,true,0.93,26646.55,6,"installment","low_value"
317075,"2015-08-28","returned","email_campaign","mobile","apple_pay",77601,"male","18-24","direct","2022-11-17",-2638,"Hoi An","Central","District #25",1,1,3,16348.26,16198.26,150,5449.42,true,0.92,16198.26,1,"one_time","low_value"
317077,"2015-08-30","delivered","referral","mobile","paypal",99510,"female","25-34","social_media","2019-09-06",-1468,"Nha Trang","Central","District #24",1,1,7,19521.25,19171.25,350,2788.75,true,1.79,19171.25,3,"installment","low_value"
317078,"2015-08-30","delivered","social_media","desktop","apple_pay",45679,"female","25-34","social_media","2020-02-16",-1631,"Ninh Binh","East","District #16",1,1,1,5474.51,5424.51,50,5474.51,true,0.91,5424.51,12,"installment","low_value"
317079,"2015-08-26","delivered","organic_search","desktop","credit_card",45777,"non-binary","35-44","organic_search","2019-09-03",-1469,"Bac Ninh","East","District #16",1,1,8,34878.24,34878.24,0,4359.78,false,0,34878.24,1,"one_time","low_value"
317081,"2015-08-30","returned","referral","desktop","paypal",46556,"female","35-44","social_media","2021-04-05",-2045,"Bac Ninh","East","District #16",2,2,10,17537.7,17537.7,0,1748.045,false,0,17537.7,1,"one_time","low_value"
317082,"2015-08-26","delivered","direct","desktop","apple_pay",46699,"female","55+","referral","2022-12-08",-2661,"Ninh Binh","East","District #16",1,1,3,19113.12,18963.12,150,6371.04,true,0.78,18963.12,6,"installment","low_value"
317084,"2015-08-29","delivered","referral","mobile","credit_card",69569,"male","25-34","paid_search","2020-01-17",-1602,"Hanoi","East","District #19",1,1,4,2918.64,2918.64,0,729.66,false,0,2918.64,3,"installment","low_value"
317085,"2015-08-29","cancelled","direct","mobile","credit_card",69572,"male","55+","paid_search","2022-11-04",-2624,"Hanoi","East","District #19",1,1,2,1406.88,1406.88,0,703.44,false,0,1406.88,3,"installment","low_value"
317086,"2015-08-26","delivered","organic_search","desktop","credit_card",69657,"male","25-34","organic_search","2021-11-20",-2278,"Cam Pha","East","District #19",1,1,4,15318.2,15318.2,0,3829.55,false,0,15318.2,3,"installment","low_value"
317088,"2015-08-29","delivered","social_media","desktop","credit_card",25565,"male","35-44","paid_search","2019-11-29",-1553,"Bac Giang","East","District #15",1,1,5,13531.9,13281.9,250,2706.38,true,1.85,13281.9,3,"installment","low_value"
317090,"2015-08-30","delivered","organic_search","desktop","apple_pay",25674,"male","25-34","social_media","2020-01-05",-1589,"Cam Pha","East","District #15",1,1,4,21820.4,21620.4,200,5455.1,true,0.92,21620.4,3,"installment","low_value"
317092,"2015-08-30","cancelled","social_media","desktop","bank_transfer",27815,"male","25-34","referral","2018-12-17",-1205,"Thai Nguyen","East","District #14",1,1,3,19145.7,18995.7,150,6381.9,true,0.78,18995.7,3,"installment","low_value"
317093,"2015-08-30","delivered","paid_search","mobile","paypal",27974,"male","35-44","email_campaign","2021-03-06",-2015,"Ha Long","East","District #14",1,1,2,1571.72,1571.72,0,785.86,false,0,1571.72,3,"installment","low_value"
317095,"2015-08-28","delivered","organic_search","desktop","credit_card",28672,"female","45-54","referral","2022-11-22",-2643,"Ha Long","East","District #14",1,1,3,9154.23,9004.23,150,3051.41,true,1.64,9004.23,3,"installment","low_value"
317096,"2015-08-28","delivered","paid_search","mobile","cod",29113,"female","45-54","organic_search","2014-02-25",549,"Hai Phong","East","District #14",1,1,4,3998.96,3998.96,0,999.74,false,0,3998.96,1,"one_time","low_value"
317097,"2015-08-26","delivered","email_campaign","mobile","credit_card",29115,"female","18-24","social_media","2021-06-20",-2125,"Hai Phong","East","District #14",1,1,3,3107.55,3107.55,0,1035.85,false,0,3107.55,3,"installment","low_value"
317098,"2015-08-27","delivered","email_campaign","desktop","paypal",24605,"male","45-54","paid_search","2019-03-04",-1285,"Ha Long","East","District #16",1,1,3,6396.96,6246.96,150,2132.32,true,2.34,6246.96,1,"one_time","low_value"
317099,"2015-08-28","delivered","social_media","mobile","credit_card",24682,"female","45-54","organic_search","2021-11-14",-2270,"Bac Giang","East","District #16",1,1,6,21910.68,21610.68,300,3651.78,true,1.37,21610.68,3,"installment","low_value"
317100,"2015-08-30","delivered","organic_search","mobile","paypal",26518,"male","18-24","social_media","2020-07-31",-1797,"Cam Pha","East","District #15",1,1,5,9965.75,9965.75,0,1993.15,false,0,9965.75,1,"one_time","low_value"
317101,"2015-08-26","delivered","paid_search","mobile","credit_card",24838,"female","35-44","email_campaign","2017-09-13",-749,"Ha Long","East","District #16",1,1,7,7612.92,7262.92,350,1087.56,true,4.6,7262.92,6,"installment","low_value"
317102,"2015-08-28","delivered","email_campaign","desktop","credit_card",25142,"female","55+","social_media","2019-06-16",-1388,"Thai Nguyen","East","District #16",1,1,6,9351.66,9051.66,300,1558.61,true,3.21,9051.66,1,"one_time","low_value"
317103,"2015-08-29","delivered","social_media","desktop","cod",34766,"male","35-44","email_campaign","2017-03-28",-577,"Ninh Binh","East","District #17",1,1,8,6443.44,6443.44,0,805.43,false,0,6443.44,1,"one_time","low_value"
317104,"2015-08-27","delivered","paid_search","mobile","credit_card",34767,"female","25-34","paid_search","2015-05-27",92,"Ninh Binh","East","District #17",1,1,6,4751.82,4751.82,0,791.97,false,0,4751.82,3,"installment","low_value"
317105,"2015-08-29","created","direct","tablet","credit_card",34919,"male","25-34","email_campaign","2017-01-25",-515,"Ninh Binh","East","District #17",1,1,5,27122.4,26872.4,250,5424.48,true,0.92,26872.4,3,"installment","low_value"
317106,"2015-08-29","delivered","paid_search","desktop","credit_card",35230,"female","45-54","paid_search","2019-09-08",-1471,"Son Tay","East","District #17",1,1,8,8857.76,8457.76,400,1107.22,true,4.52,8457.76,3,"installment","low_value"
317108,"2015-08-26","delivered","organic_search","mobile","paypal",34023,"female","55+","paid_search","2015-01-18",220,"Son Tay","East","District #16",2,2,5,8764.55,8764.55,0,1755.935,false,0,8764.55,6,"installment","low_value"
317110,"2015-08-27","delivered","email_campaign","desktop","credit_card",36111,"male","25-34","email_campaign","2020-03-14",-1661,"Lao Cai","East","District #17",1,1,8,13302,13302,0,1662.75,false,0,13302,3,"installment","low_value"
317111,"2015-08-29","delivered","direct","mobile","bank_transfer",34315,"female","25-34","email_campaign","2022-01-01",-2317,"Phu Ly","East","District #16",1,1,4,22936.08,22736.08,200,5734.02,true,0.87,22736.08,1,"one_time","low_value"
317112,"2015-08-29","delivered","referral","tablet","credit_card",34319,"male","45-54","paid_search","2017-02-27",-548,"Thai Nguyen","East","District #16",1,1,7,35157.64,34807.64,350,5022.52,true,1,34807.64,6,"installment","low_value"
317114,"2015-08-27","delivered","referral","mobile","credit_card",36599,"male","55+","social_media","2017-08-29",-733,"Hai Phong","East","District #17",2,2,10,48450.33,47950.33,500,4337.055,true,1.03,47950.33,3,"installment","low_value"
317115,"2015-08-26","delivered","organic_search","desktop","cod",36842,"female","25-34","email_campaign","2021-11-06",-2264,"Hai Phong","East","District #17",1,1,5,27277,27027,250,5455.4,true,0.92,27027,1,"one_time","low_value"
317116,"2015-08-28","delivered","organic_search","desktop","paypal",29693,"female","25-34","email_campaign","2018-01-31",-887,"Cam Pha","East","District #18",1,1,8,44628.16,44228.16,400,5578.52,true,0.9,44228.16,1,"one_time","low_value"
317117,"2015-08-29","delivered","social_media","mobile","credit_card",30148,"female","35-44","social_media","2019-02-05",-1256,"Lao Cai","East","District #18",1,1,2,11415.78,11315.78,100,5707.89,true,0.88,11315.78,3,"installment","low_value"
317118,"2015-08-27","delivered","email_campaign","tablet","credit_card",30791,"female","25-34","email_campaign","2022-01-08",-2326,"Nam Dinh","East","District #18",1,1,2,4357.2,4357.2,0,2178.6,false,0,4357.2,3,"installment","low_value"
317119,"2015-08-29","delivered","organic_search","desktop","credit_card",30788,"male","35-44","social_media","2012-09-20",1073,"Nam Dinh","East","District #18",1,1,5,11034,11034,0,2206.8,false,0,11034,3,"installment","low_value"
317120,"2015-08-30","delivered","paid_search","mobile","credit_card",31295,"male","45-54","organic_search","2017-08-12",-713,"Bac Ninh","East","District #18",1,1,1,1017.23,1017.23,0,1017.23,false,0,1017.23,6,"installment","low_value"
317123,"2015-08-27","delivered","paid_search","tablet","credit_card",31678,"female","35-44","referral","2018-11-15",-1176,"Hanoi","East","District #18",1,1,7,35926.17,35576.17,350,5132.31,true,0.97,35576.17,3,"installment","low_value"
317124,"2015-08-28","cancelled","organic_search","mobile","cod",84451,"female","35-44","organic_search","2019-12-27",-1582,"Hoi An","Central","District #30",1,1,7,42461.93,42111.93,350,6065.99,true,0.82,42111.93,1,"one_time","low_value"
317125,"2015-08-29","delivered","referral","tablet","credit_card",85097,"female","45-54","referral","2020-09-26",-1855,"Tam Ky","Central","District #30",1,1,6,27275.34,26975.34,300,4545.89,true,1.1,26975.34,6,"installment","low_value"
317126,"2015-08-27","cancelled","paid_search","tablet","credit_card",111083,"female","18-24","paid_search","2016-10-18",-418,"Quang Ngai","Central","District #29",1,1,1,4197.97,4147.97,50,4197.97,true,1.19,4147.97,12,"installment","low_value"
317127,"2015-08-29","returned","organic_search","mobile","credit_card",111128,"male","35-44","organic_search","2014-08-28",366,"Quang Ngai","Central","District #29",1,1,5,14632.3,14382.3,250,2926.46,true,1.71,14382.3,6,"installment","low_value"
317128,"2015-08-28","delivered","paid_search","desktop","credit_card",112635,"male","35-44","direct","2017-07-12",-684,"Hue","Central","District #27",1,1,4,10551.52,10351.52,200,2637.88,true,1.9,10351.52,3,"installment","low_value"
317129,"2015-08-27","delivered","direct","desktop","credit_card",115405,"male","18-24","paid_search","2015-04-24",125,"Phan Thiet","Central","District #26",2,2,9,7163.34,7163.34,0,796.635,false,0,7163.34,12,"installment","low_value"
317130,"2015-08-29","delivered","organic_search","mobile","cod",115406,"female","18-24","social_media","2021-06-07",-2109,"Phan Thiet","Central","District #26",2,2,7,5726.61,5726.61,0,813.18,false,0,5726.61,1,"one_time","low_value"
317131,"2015-08-28","delivered","social_media","desktop","credit_card",115404,"male","25-34","organic_search","2015-02-01",208,"Phan Thiet","Central","District #26",1,1,8,6601.84,6601.84,0,825.23,false,0,6601.84,3,"installment","low_value"
317132,"2015-08-27","delivered","direct","tablet","credit_card",115403,"male","25-34","organic_search","2021-05-17",-2090,"Phan Thiet","Central","District #26",2,2,14,11588.4,11588.4,0,826.5,false,0,11588.4,3,"installment","low_value"
317133,"2015-08-26","delivered","email_campaign","desktop","credit_card",115407,"male","18-24","organic_search","2022-07-07",-2507,"Phan Thiet","Central","District #26",1,1,2,1615.12,1615.12,0,807.56,false,0,1615.12,3,"installment","low_value"
317134,"2015-08-28","returned","paid_search","mobile","cod",106093,"female","55+","organic_search","2016-12-03",-463,"Quang Ngai","Central","District #28",1,1,7,8130.57,8130.57,0,1161.51,false,0,8130.57,1,"one_time","low_value"
317135,"2015-08-29","delivered","paid_search","mobile","apple_pay",117213,"non-binary","25-34","direct","2022-01-01",-2317,"Hoi An","Central","District #26",1,1,1,1387.05,1387.05,0,1387.05,false,0,1387.05,6,"installment","low_value"
317136,"2015-08-26","delivered","referral","tablet","credit_card",102949,"male","25-34","email_campaign","2018-12-06",-1198,"Dong Hoi","Central","District #28",1,1,2,20172.08,20072.08,100,10086.04,true,0.5,20072.08,1,"one_time","low_value"
317138,"2015-08-26","returned","direct","desktop","paypal",103397,"male","25-34","organic_search","2018-01-22",-880,"Dong Hoi","Central","District #28",1,1,7,17523.1,17173.1,350,2503.3,true,2,17173.1,3,"installment","low_value"
317139,"2015-08-26","delivered","email_campaign","desktop","credit_card",103639,"male","18-24","social_media","2020-10-28",-1890,"Hoi An","Central","District #28",1,1,3,14661.27,14661.27,0,4887.09,false,0,14661.27,3,"installment","low_value"
317142,"2015-08-27","delivered","social_media","desktop","paypal",91656,"male","45-54","referral","2014-08-20",372,"Hue","Central","District #32",1,1,3,14328.81,14178.81,150,4776.27,true,1.05,14178.81,6,"installment","low_value"
317143,"2015-08-27","returned","direct","mobile","credit_card",91821,"male","35-44","referral","2022-05-25",-2463,"Dong Hoi","Central","District #32",1,1,1,3135.41,3085.41,50,3135.41,true,1.59,3085.41,3,"installment","low_value"
317144,"2015-08-28","delivered","social_media","tablet","bank_transfer",156388,"female","18-24","direct","2019-03-27",-1307,"Long Xuyen","West","District #33",1,1,4,10767.76,10567.76,200,2691.94,true,1.86,10567.76,12,"installment","low_value"
317146,"2015-08-30","delivered","paid_search","desktop","credit_card",157048,"male","35-44","social_media","2019-05-07",-1346,"Pleiku","West","District #33",2,2,7,4965.93,4965.93,0,714.04,false,0,4965.93,3,"installment","low_value"
317147,"2015-08-30","delivered","social_media","tablet","bank_transfer",117450,"female","35-44","direct","2013-03-28",885,"Nha Trang","Central","District #31",1,1,2,10891.08,10791.08,100,5445.54,true,0.92,10791.08,1,"one_time","low_value"
317148,"2015-08-30","delivered","paid_search","desktop","credit_card",117548,"female","55+","social_media","2019-12-01",-1554,"Phan Thiet","Central","District #31",1,1,7,44372.51,44022.51,350,6338.93,true,0.79,44022.51,6,"installment","low_value"
317149,"2015-08-26","delivered","referral","mobile","bank_transfer",117604,"female","35-44","direct","2018-09-10",-1111,"Quy Nhon","Central","District #31",1,1,3,9390.09,9240.09,150,3130.03,true,1.6,9240.09,1,"one_time","low_value"
317150,"2015-08-30","delivered","email_campaign","tablet","credit_card",117718,"male","45-54","direct","2021-01-03",-1953,"Da Nang","Central","District #31",1,1,7,14730.38,14380.38,350,2104.34,true,2.38,14380.38,1,"one_time","low_value"
