product_id,product_name,category,segment,size,color,list_price,cogs,orders_count,total_units_sold,gross_revenue,net_revenue,total_discount_amount,avg_selling_price,promo_attach_rate_pct,gross_margin_pct,total_return_events,total_units_returned,total_refund_amount,return_rate_pct,top_return_reason,returns_wrong_size,returns_defective,returns_not_as_described,returns_changed_mind,returns_late_delivery,total_reviews,avg_rating,positive_reviews,negative_reviews,stock_on_hand,days_of_supply,fill_rate,sell_through_rate,stockout_flag,overstock_flag,reorder_flag,latest_snapshot_date,product_risk_tier
1252,"VietMode MP-20","Casual","Activewear","S","orange",5164.74,2973.857292,144,578,2830110.56,2695877.56,134233,4892.145763888889,34.03,36.24,8,15,70145.97,2.6,"wrong_size",3,2,1,2,0,25,3.6,16,5,21,630,1,0.0455,false,true,false,"2021-05-31","low_risk"
2365,"VietMotion UC-13","Streetwear","Everyday","M","purple",6423.10253164557,4688.222537848101,857,3917,23142139.5,22064299.45,1077840.05,5873.9311901983665,40.61,16.77,51,122,653346.63,3.11,"wrong_size",20,14,5,9,3,131,3.87,95,22,215,921.4,0.9333,0.0315,true,true,false,"2022-12-31","low_risk"
2132,"PhoenixWear UR-08","Streetwear","Standard","S","orange",4448.246582278481,2596.441530075949,251,1144,4637241.91,4396890.02,240351.89,4054.429920318725,45.02,32.44,15,40,146953.7,3.5,"defective",4,4,3,3,1,31,4.06,24,3,38,1140,1,0.0256,false,true,false,"2019-03-31","low_risk"
1045,"MekongFit MA-03","Casual","All-weather","M","purple",2541.87,1871.578881,268,1233,3016473.36,2911520.83,104952.53,2440.8001119402984,29.48,20.74,12,44,99472.02000000002,3.57,"wrong_size",6,3,1,1,1,46,4.02,33,3,61,1830,0.9667,0.0161,true,true,false,"2022-01-31","low_risk"
2381,"VietMotion UC-29","Streetwear","Everyday","M","black",7536.502486388385,7159.677362068965,402,1850,12989013.84,12437951.84,551062,6999.694104477612,36.82,-6.49,25,65,426859.44000000006,3.51,"wrong_size",8,7,5,2,3,66,4.08,48,7,78,2340,1,0.0127,false,true,false,"2021-08-31","low_risk"
2136,"PhoenixWear UR-12","Streetwear","Standard","S","green",5342.824976303317,4014.598687194313,384,1757,8652323,8162013.19,490309.81,4930.816953125,43.49,13.58,20,58,264747.6,3.3,"defective",5,5,4,2,4,71,3.96,53,9,87,290,0.9667,0.0938,true,true,false,"2022-12-31","low_risk"
1136,"MekongFit UM-13","Streetwear","Balanced","S","green",9134.37,8677.6515,217,1040,8864325.16,8501947.07,362378.09,8528.224239631336,34.56,-6.15,12,36,299946.8,3.46,"wrong_size",5,3,2,2,0,38,4,28,2,57,855,0.9667,0.0339,true,true,false,"2021-03-31","low_risk"
1078,"MekongFit RP-24","Outdoor","Activewear","L","pink",4317.599357798164,3338.367823449541,742,3383,13768240.22,13064812.44,703427.78,4072.8150943396226,38.14,13.56,37,90,329162.19000000006,2.66,"wrong_size",12,10,6,6,3,125,3.92,85,14,185,5550,0.9667,0.0054,true,true,false,"2022-12-31","low_risk"
1320,"VietMode RP-12","Outdoor","Activewear","S","red",4481.563026315789,4257.484874999999,182,811,3387269.8,3185298.86,201970.94,4195.528956043956,39.56,-8.4,12,23,87590.56,2.84,"wrong_size",6,2,1,2,1,33,3.61,19,6,17,255,0.9333,0.1053,true,true,false,"2022-11-30","low_risk"
1868,"BambooCraft UM-06","Streetwear","Balanced","S","pink",14247.512493297589,13535.136868632708,111,509,6868419.95,6547441.36,320978.59,13487.998648648649,36.94,-5.22,8,22,269829.53,4.32,"not_as_described",2,1,4,0,1,20,4.05,14,1,31,232.5,0.9667,0.1143,true,true,false,"2022-12-31","low_risk"
2039,"UrbanVN UR-42","Streetwear","Standard","XL","yellow",4661.37,2832.7145490000003,74,322,1336525.05,1275438.96,61086.09,4131.07445945946,45.95,28.48,4,7,23531.629999999997,2.17,"wrong_size",2,0,1,0,1,8,3.88,5,0,10,300,0.9667,0.0909,true,true,false,"2018-01-31","low_risk"
1215,"MekongFit UC-17","Streetwear","Everyday","XL","purple",4138.55297271872,2641.6383624863597,833,3793,14599028.84,14004146.65,594882.19,3851.8753421368547,36.13,28.45,43,119,431047.83999999997,3.14,"defective",11,13,8,7,4,128,4.05,98,13,267,2002.5,0.9333,0.0148,true,true,false,"2021-03-31","low_risk"
418,"SaigonFlex UM-23","Streetwear","Balanced","L","pink",10896.09205263158,9394.610567778947,728,3270,32899099.09,31304821.81,1594277.28,10057.05129120879,41.62,1.87,32,77,719752.26,2.35,"wrong_size",14,4,6,3,5,104,3.88,74,13,183,5490,0.9667,0.0054,true,true,false,"2020-03-31","low_risk"
1495,"VietMode RP-87","Outdoor","Activewear","XL","purple",4625.339310344828,4394.072344827587,391,1792,7837561.12,7456526.11,381035.01,4390.510204603581,36.32,-5.6,20,59,243191.14,3.29,"changed_mind",5,6,3,6,0,62,3.77,42,12,77,2310,1,0.0128,false,true,false,"2022-10-31","low_risk"
1997,"UrbanVN UM-04","Streetwear","Balanced","M","silver",9479.086981132075,7933.047894509435,123,534,4743903.44,4513803.75,230099.69,8879.499593495935,41.46,6.15,6,16,115955.5,3,"late_delivery",2,1,1,0,2,25,4.04,20,1,25,750,0.9333,0.0385,true,true,false,"2022-08-31","low_risk"
2016,"UrbanVN UR-19","Streetwear","Standard","S","green",3743.541357615894,1998.676730831126,906,4125,14233753.64,13572589.04,661164.6,3433.828533627343,39.03,39.26,52,133,438417.07999999996,3.22,"wrong_size",17,9,16,6,4,149,3.78,98,20,291,8730,0.9667,0.0034,true,true,false,"2019-09-30","low_risk"
670,"SaigonFlex UC-35","Streetwear","Everyday","L","red",10899.88914893617,10354.894691489362,548,2409,24680978.54,23708339.97,972638.57,10266.77746350365,31.75,-5.22,27,64,616837.21,2.66,"wrong_size",11,7,3,5,1,89,3.82,59,13,109,3270,0.9667,0.0091,true,true,false,"2018-06-30","low_risk"
1597,"VietMode RS-35","Outdoor","Premium","M","silver",2063.380223463688,1049.4351816536312,226,939,1810236.48,1704554.72,105681.76,1932.832610619469,40.27,42.19,15,35,60367.89,3.73,"not_as_described",3,3,6,2,1,29,3.9,20,5,60,225,0.9333,0.1176,true,true,false,"2022-12-31","low_risk"
1489,"VietMode RP-81","Outdoor","Activewear","M","yellow",3248.5471597633136,2722.2825198816568,398,1801,5570619.03,5331006.83,239612.2,3082.98824120603,33.92,8.03,26,71,205386.08000000002,3.94,"defective",7,10,3,2,4,53,4.08,39,7,98,2940,1,0.0101,false,true,false,"2022-12-31","low_risk"
1060,"MekongFit RP-06","Outdoor","Activewear","S","red",1979.360663900415,1361.8001367634854,610,2833,5191606.74,4849665.54,341941.2,1837.516393442623,44.26,20.45,32,84,141595.38,2.97,"wrong_size",12,4,5,7,4,89,3.94,64,12,155,244.7,1,0.1092,false,true,false,"2022-12-31","low_risk"
634,"SaigonFlex UC-99","Streetwear","Everyday","L","white",10788.273954983924,6005.8321107395495,236,1099,11128381.59,10878663.25,249718.34,10073.366059322034,26.27,39.33,12,32,307118.47000000003,2.91,"defective",5,5,1,1,0,38,4.21,32,1,61,1830,0.9667,0.0161,true,true,false,"2014-09-30","low_risk"
508,"SaigonFlex UM-13","Streetwear","Balanced","S","pink",11576.454545454546,7095.208990909091,232,1032,11207413.9,10961885.08,245528.82,10826.028534482759,27.16,33.2,13,27,269202.25,2.62,"wrong_size",5,3,3,0,2,29,4.03,22,4,58,1740,0.9667,0.0169,true,true,false,"2013-11-30","low_risk"
238,"LotusWear UR-10","Streetwear","Standard","L","pink",4412.916666666667,2846.3312500000006,97,407,1647822.96,1572203.87,75619.09,4078.2080412371133,38.14,26.32,4,14,56717.33,3.44,"defective",1,2,0,1,0,13,4.15,10,1,14,420,0.9333,0.0667,true,true,false,"2018-08-31","low_risk"
459,"SaigonFlex UM-64","Streetwear","Balanced","XL","yellow",12111.791176470588,8626.017675882353,125,565,6074727,5766435.47,308291.53,10690.57712,51.2,15.48,4,9,89366.98000000001,1.59,"wrong_size",1,1,1,1,0,15,3.87,10,2,31,930,1,0.0312,false,true,false,"2020-12-31","low_risk"
518,"SaigonFlex UE-06","Streetwear","Performance","L","pink",6281.421428571429,3173.374105714286,76,331,1865727.25,1798097.6,67629.65,5673.999736842105,38.16,41.58,5,12,68825.1,3.63,"not_as_described",0,1,2,0,2,13,3.77,9,3,19,570,1,0.05,false,true,false,"2016-11-30","low_risk"
596,"SaigonFlex UC-61","Streetwear","Everyday","S","green",9577.146989690722,5842.05966371134,1876,8457,74842655.41,71857994.82,2984660.59,8847.891391257996,36.19,31.24,96,280,2246006.15,3.31,"wrong_size",30,21,16,18,11,319,3.94,234,45,673,20190,1,0.0015,false,true,false,"2022-04-30","low_risk"
544,"SaigonFlex UC-09","Streetwear","Everyday","S","white",11334.106451612904,8528.91510483871,124,543,5634139.24,5397079.2,237060.04,10409.311774193548,41.13,14.19,7,10,96424.37,1.84,"defective",1,3,1,2,0,25,4.2,20,2,25,750,0.9667,0.0385,true,true,false,"2019-11-30","low_risk"
2269,"VietMotion RS-02","Outdoor","Premium","M","yellow",3915.427786872344,3719.6563975287263,4427,19921,73319174.62,69421174.17,3898000.45,3683.979758355917,37.74,-6.74,221,606,2066775.7500000002,3.04,"wrong_size",83,38,30,48,22,718,3.95,513,78,1178,1472.5,1,0.02,false,true,false,"2022-12-31","low_risk"
1540,"VietMode RP-32","Outdoor","Activewear","S","red",4534.74,2815.620066,252,1152,5019677.88,4842077.5,177600.38,4365.07507936508,27.38,33.01,16,32,131050.44999999998,2.78,"wrong_size",5,4,3,3,1,43,3.79,29,8,63,1890,1,0.0156,false,true,false,"2017-11-30","low_risk"
1392,"VietMode RP-84","Outdoor","Activewear","S","orange",2068.3202760736194,1296.4231490429447,750,3486,6818757.46,6494795.55,323961.91,1957.4732,34.13,30.42,40,118,216769.69,3.38,"wrong_size",17,5,8,6,4,116,3.81,76,15,140,1400,0.9667,0.021,true,true,false,"2022-12-31","low_risk"
1191,"MekongFit UE-27","Streetwear","Performance","XL","black",3202.148350515464,2351.657748618557,1588,7160,21262013.07,20329760.31,932252.76,2979.755144836272,36.15,17.18,83,259,729119.9600000001,3.62,"wrong_size",31,14,11,17,10,260,3.95,187,39,396,11880,1,0.0025,false,true,false,"2022-09-30","low_risk"
1231,"MekongFit UC-33","Streetwear","Everyday","XL","black",9063.754615384616,7768.5440808461535,357,1568,13191423.08,12661113.9,530309.18,8368.708571428571,38.66,3.79,29,106,871000.8600000001,6.76,"not_as_described",8,3,9,5,4,73,4.16,57,5,72,2160,1,0.0137,false,true,false,"2021-12-31","medium_risk"
1407,"VietMode RP-99","Outdoor","Activewear","XL","silver",5076.210588235294,4041.171249294117,119,556,2684739.03,2561579.53,123159.5,4815.029159663865,36.13,12.28,9,28,120111.21,5.04,"wrong_size",4,1,2,1,1,14,4.14,10,0,29,870,0.9667,0.0333,true,true,false,"2022-10-31","medium_risk"
626,"SaigonFlex UC-91","Streetwear","Everyday","L","green",17013.896946107783,16163.202098802392,131,606,9321748.17,8792085.55,529662.62,15387.220076335878,43.51,-11.41,7,20,246153.90999999997,3.3,"defective",2,3,1,1,0,22,4.14,16,2,55,825,0.9667,0.0351,true,true,false,"2020-08-31","low_risk"
476,"SaigonFlex UM-81","Streetwear","Balanced","S","green",23472.73046511628,14022.609179860465,178,763,16675597.07,15943848.56,731748.51,21793.485393258426,35.96,32.89,11,29,559647.05,3.8,"not_as_described",3,3,3,0,2,32,3.75,20,5,47,470,0.9333,0.06,true,true,false,"2022-12-31","low_risk"
581,"SaigonFlex UC-46","Streetwear","Everyday","M","black",16696.35,14125.112099999997,150,705,11075778.53,10554193.1,521585.43,15519.1966,41.33,5.65,8,19,274698.6,2.7,"wrong_size",6,1,0,0,1,23,4.09,17,1,49,1470,0.9333,0.02,true,true,false,"2018-05-31","low_risk"
1202,"MekongFit UC-04","Streetwear","Everyday","L","orange",7253.09891566265,6218.081700397591,118,546,3694782.01,3558925.59,135856.42,6755.3620338983055,36.44,4.6,5,6,37328.64,1.1,"wrong_size",2,2,0,1,0,20,3.75,12,4,45,1350,0.9333,0.0217,true,true,false,"2018-01-31","low_risk"
2192,"VietMotion MA-06","Casual","All-weather","S","orange",2587.684929328622,2458.3006828621906,864,3863,9503601.38,9086133.2,417468.18,2462.512060185185,32.52,-4.52,47,132,305266.94,3.42,"wrong_size",20,5,10,8,4,120,3.95,87,18,224,6720,0.9333,0.0044,true,true,false,"2022-01-31","low_risk"
26,"DragonWear MA-26","Casual","All-weather","L","green",9437.143228498076,8226.35775228177,1046,4632,41446425.1,39573413.66,1873011.44,8949.031998087954,34.13,3.71,56,124,1032550.2899999999,2.68,"wrong_size",19,9,12,8,8,173,3.83,122,29,240,720,0.9333,0.04,true,true,false,"2022-12-31","low_risk"
280,"LotusWear UE-01","Streetwear","Performance","S","red",12596.85,11967.0075,120,545,6370438.92,6080763.57,289675.35,11675.422,35,-7.26,5,17,163938.13,3.12,"wrong_size",2,0,1,1,1,14,3.21,8,6,59,1770,0.9667,0.0167,true,true,false,"2021-06-30","low_risk"
601,"SaigonFlex UC-66","Streetwear","Everyday","M","black",15754.49563106796,14966.770849514562,163,709,10354398.68,9872572.12,481826.56,14519.273558282208,39.88,-7.48,12,27,377230.86,3.81,"wrong_size",5,4,2,1,0,31,3.9,23,3,36,1080,1,0.027,false,true,false,"2018-05-31","low_risk"
1263,"VietMode MP-31","Casual","Activewear","XL","blue",5984.37,5685.1515,38,150,873675.67,852413.16,21262.51,5747.795263157895,26.32,-0.04,3,8,43689.47,5.33,"changed_mind",1,0,0,2,0,5,4.4,5,0,6,90,0.9667,0.25,true,false,false,"2022-10-31","medium_risk"
1196,"MekongFit UE-32","Streetwear","Performance","S","green",5291.37,2884.325787,127,612,2938654.28,2759599.83,179054.45,4802.103385826772,45.67,36.03,5,15,61327.86,2.45,"late_delivery",1,0,0,1,3,18,3.94,12,3,30,900,1,0.0323,false,true,false,"2021-03-31","low_risk"
467,"SaigonFlex UM-72","Streetwear","Balanced","XL","silver",11081.167628705149,6350.61716801092,1433,6417,66871275.46,63921030.37,2950245.09,10428.261025819958,35.1,36.25,76,240,2280141.8499999996,3.74,"wrong_size",24,20,13,13,6,227,4.05,171,26,624,18720,0.9667,0.0016,true,true,false,"2016-03-31","low_risk"
1127,"MekongFit UM-04","Streetwear","Balanced","XL","silver",9359.509534883722,8891.534058139536,97,448,3841777.56,3690293.46,151484.1,8664.438969072165,32.99,-7.94,5,13,102875.41999999998,2.9,"defective",1,3,0,1,0,21,4.29,16,2,22,660,0.9667,0.0435,true,true,false,"2022-08-31","low_risk"
401,"SaigonFlex UM-06","Streetwear","Balanced","M","black",11384.1,10814.895,50,227,2426930.35,2373927.52,53002.83,10662.9006,24,-3.41,3,3,26354.97,1.32,"defective",0,1,1,1,0,7,2.86,2,2,21,630,0.9333,0.0455,true,true,false,"2014-04-30","high_risk"
2375,"VietMotion UC-23","Streetwear","Everyday","XL","purple",8378.37,5122.535418,111,458,3532067.91,3427619.26,104448.65,7701.369549549549,35.14,31.55,6,11,82812.31,2.4,"not_as_described",0,1,3,1,1,29,4.31,25,1,25,750,0.9333,0.0385,true,true,false,"2018-06-30","low_risk"
1350,"VietMode RP-42","Outdoor","Activewear","L","red",4740.946657458563,4503.8993245856345,236,1063,4722850.88,4452399.23,270451.65,4453.978601694916,40.68,-7.53,5,12,50938.85999999999,1.13,"wrong_size",2,0,0,1,2,41,3.83,26,5,67,1005,1,0.029,false,true,false,"2022-12-31","low_risk"
1504,"VietMode RP-96","Outdoor","Activewear","S","white",4245.681176470588,3142.653206823529,69,338,1369509.68,1311525.54,57984.14,4074.853623188406,30.43,19.01,3,11,44061.16,3.25,"defective",1,1,1,0,0,12,4.17,10,2,11,330,0.9333,0.0833,true,true,false,"2021-06-30","low_risk"
2069,"UrbanVN UC-04","Streetwear","Everyday","M","yellow",6299.37,5984.4015,120,518,3088275.57,2955222.47,133053.1,5933.578333333333,40.83,-4.9,3,8,43583.95999999999,1.54,"changed_mind",1,1,0,1,0,22,3.32,11,7,19,570,1,0.05,false,true,false,"2022-10-31","low_risk"
1773,"SaigonCore UE-08","Streetwear","Performance","M","blue",13497.12,7885.017504,22,122,1546911.26,1469645.84,77265.42,12750.32909090909,36.36,34.54,1,4,53018.3,3.28,"wrong_size",1,0,0,0,0,5,4.4,4,0,6,180,1,0.1429,false,true,false,"2022-11-30","low_risk"
259,"LotusWear UR-31","Streetwear","Standard","XL","yellow",7345.98223140496,5610.126630123967,95,438,2878741.9,2765293.07,113448.83,6598.791894736843,42.11,11.14,7,16,109797.56,3.65,"wrong_size",5,0,0,1,1,17,4.18,13,1,8,240,0.9667,0.1111,true,true,false,"2019-07-31","low_risk"
936,"HanoiStreet UE-45","Streetwear","Performance","S","green",6240.3075,5928.292125,96,418,2438123.49,2387229.9,50893.59,5895.7108333333335,22.92,-3.8,4,11,61016.82,2.63,"late_delivery",1,1,0,0,2,15,3.53,8,4,64,1920,0.9667,0.0154,true,true,false,"2018-08-31","low_risk"
1728,"SaigonCore MA-03","Casual","All-weather","S","pink",5993.059655172414,4755.492836379311,19,93,526463.09,503312.63,23150.46,5642.086315789474,36.84,12.13,1,1,5735.89,1.08,"defective",0,1,0,0,0,3,4,2,0,3,90,0.9667,0.25,true,false,false,"2022-05-31","low_risk"
1502,"VietMode RP-94","Outdoor","Activewear","L","orange",4400.339999999999,2938.107018,12,53,235019.2,235019.2,0,4418.406666666667,0,33.74,2,8,32612.33,15.09,"wrong_size",1,1,0,0,0,3,4.33,3,0,3,90,0.9667,0.25,true,false,false,"2016-01-31","high_risk"
1271,"VietMode MA-07","Casual","All-weather","XL","black",5605.74,5325.453,39,168,915372.59,890207.89,25164.7,5425.598717948718,23.08,-0.5,4,14,75168.19,8.33,"wrong_size",3,0,0,0,1,4,4.75,4,0,78,2340,0.9333,0.0127,true,true,false,"2020-05-31","medium_risk"
1315,"VietMode RP-07","Outdoor","Activewear","XL","purple",4409.278125,2546.799045,27,111,462003.94,439610.27,22393.67,4100.975555555556,40.74,35.69,1,2,7863.14,1.8,"defective",0,1,0,0,0,4,4,3,1,6,180,0.9333,0.1429,true,true,false,"2022-12-31","low_risk"
1550,"VietMode RP-42","Outdoor","Activewear","L","red",5038.74,2568.245778,35,177,835199.73,783091.94,52107.79,4673.472571428571,54.29,41.95,2,13,56756.1,7.34,"late_delivery",1,0,0,0,1,7,4.29,5,0,7,210,1,0.125,false,true,false,"2020-05-31","medium_risk"
236,"LotusWear UR-08","Streetwear","Standard","S","green",6434.257407407407,5945.253844444444,121,567,3314663.45,3147801.47,166861.98,5819.305289256198,46.28,-7.09,6,21,121991.57999999999,3.7,"not_as_described",1,0,3,2,0,18,3.67,11,2,21,157.5,0.9667,0.16,true,true,false,"2022-12-31","low_risk"
2183,"PhoenixWear UC-13","Streetwear","Everyday","XL","blue",8685.852954545455,8251.56030681818,98,426,3421633.37,3287036.69,134596.68,7946.918979591836,40.82,-6.94,1,1,6112.67,0.23,"wrong_size",1,0,0,0,0,11,4.45,10,0,21,315,0.9667,0.087,true,true,false,"2022-12-31","low_risk"
307,"LotusWear UE-28","Streetwear","Performance","XL","silver",13856.85,8174.155815000001,32,148,1860953.42,1750810.22,110143.2,12899.6646875,37.5,30.9,2,5,63568.469999999994,3.38,"wrong_size",2,0,0,0,0,6,4,4,1,18,270,1,0.1,false,true,false,"2022-01-31","low_risk"
244,"LotusWear UR-16","Streetwear","Standard","S","white",7556.85,7036.183035,44,175,1239054.8,1172767.16,66287.64,7149.844545454545,36.36,-4.99,1,2,14190.05,1.14,"not_as_described",0,0,1,0,0,8,3.88,4,1,9,135,0.9667,0.1818,true,true,false,"2022-04-30","low_risk"
1666,"VietMode RS-04","Outdoor","Premium","L","green",2847.5427272727275,2029.1589474545451,19,82,217045.54,203300.75,13744.79,2645.371052631579,36.84,18.16,1,5,13866.61,6.1,"wrong_size",1,0,0,0,0,2,4,1,0,21,105,0.9333,0.2222,true,true,false,"2022-12-31","medium_risk"
681,"SaigonFlex UC-46","Streetwear","Everyday","M","black",8907.554838709679,8272.446178709677,1510,6908,57176981.54,55076437.67,2100543.87,8272.645907284768,33.84,-3.76,70,215,1652764.71,3.11,"not_as_described",19,14,20,11,6,254,3.83,176,43,516,15480,0.9667,0.0019,true,true,false,"2020-07-31","low_risk"
1111,"MekongFit RP-57","Outdoor","Activewear","XL","black",1422.8740268456374,1286.2781202684564,114,542,748171.8,728568.26,19603.54,1377.9758771929824,21.05,4.31,8,21,27158.340000000004,3.87,"late_delivery",2,1,1,2,2,20,3.9,14,3,21,630,0.9333,0.0455,true,true,false,"2022-03-31","low_risk"
2090,"UrbanVN UC-25","Streetwear","Everyday","L","red",4301.704266090053,3533.8500545929787,2943,13491,53132968.25,50782218.56,2350749.69,3942.6360801630435,39.71,6.12,173,493,1810582.1,3.65,"wrong_size",66,32,30,26,19,495,4.02,372,45,708,10620,0.9333,0.0028,true,true,false,"2022-03-31","low_risk"
789,"HanoiStreet RP-77","Outdoor","Activewear","M","yellow",2708.37,2535.305157,359,1619,4103797.88,3873757.6,230040.28,2531.570835654596,40.39,-5.96,15,32,75525.39,1.98,"wrong_size",5,2,3,3,2,70,3.76,47,12,125,3750,0.9667,0.0079,true,true,false,"2022-02-28","low_risk"
939,"HanoiStreet UC-02","Streetwear","Everyday","XL","yellow",4494.106487018096,4269.401162667191,1836,8316,34424138.65,32898552.35,1525586.3,4145.35241285403,38.56,-7.92,95,295,1126632.3199999998,3.55,"wrong_size",35,18,14,18,10,287,4.03,218,30,454,6810,0.9333,0.0044,true,true,false,"2022-12-31","low_risk"
786,"HanoiStreet RP-74","Outdoor","Activewear","L","green",699.7209571558797,645.842443454877,3426,15595,10549261.41,10243092.31,306169.1,675.8729909541873,23.58,1.67,197,528,332823,3.39,"wrong_size",70,32,36,39,20,552,3.97,410,70,1326,19890,1,0.0015,false,true,false,"2020-08-31","low_risk"
1962,"UrbanVN RP-37","Outdoor","Activewear","L","orange",1794.87,1680.5367809999998,571,2691,4504454.99,4229388.94,275066.05,1669.0560945709283,43.26,-6.93,31,102,154416.24,3.79,"wrong_size",12,5,8,4,2,89,3.88,58,10,168,5040,0.9333,0.0059,true,true,false,"2017-11-30","low_risk"
1089,"MekongFit RP-35","Outdoor","Activewear","M","yellow",4610.969999999999,2548.022022,254,1128,4932520.53,4710819.32,221701.21,4366.377244094489,34.25,38.99,16,37,148718.97,3.28,"wrong_size",5,4,3,1,3,49,3.96,32,3,67,2010,0.9333,0.0147,true,true,false,"2022-09-30","low_risk"
536,"SaigonFlex UC-01","Streetwear","Everyday","S","green",11059.65,9704.842875,27,108,1162761.68,1140399.43,22362.25,10812.315555555555,14.81,8.09,2,10,104934.1,9.26,"wrong_size",1,0,1,0,0,3,4,2,0,18,135,1,0.1818,false,true,false,"2015-06-30","medium_risk"
1434,"VietMode RP-26","Outdoor","Activewear","L","white",4346.329468531469,2982.8859142531464,540,2306,9459612.63,8985433.24,474179.39,4100.023537037037,36.67,23.45,34,76,285602.13,3.3,"wrong_size",14,8,4,5,3,82,3.94,59,11,123,3690,0.9667,0.0081,true,true,false,"2022-12-31","low_risk"
687,"SaigonFlex UC-52","Streetwear","Everyday","XL","silver",5610.653125000001,4180.4976434375,108,456,2380642.29,2316330.16,64312.13,5191.05462962963,30.56,17.7,7,23,113919.42000000001,5.04,"wrong_size",2,1,2,1,1,25,3.84,16,5,30,900,0.9333,0.0323,true,true,false,"2020-03-31","medium_risk"
2404,"VietMotion YY-13","GenZ","Trendy","S","white",3296.847272727273,2940.1283978181823,172,738,2316175.12,2216270.79,99904.33,3128.2052906976746,34.88,2.1,11,31,88904.1,4.2,"not_as_described",2,2,4,2,1,23,3.57,11,4,25,750,1,0.0385,false,true,false,"2022-02-28","low_risk"
733,"HanoiStreet RP-21","Outdoor","Activewear","M","blue",4376.45179245283,2285.383126018868,5051,22565,93285191.87,88717474.05,4567717.82,4134.587770738468,36.45,41.87,275,763,2891205.69,3.38,"wrong_size",95,66,40,47,27,835,3.96,612,103,1346,13460,1,0.0022,false,true,false,"2022-12-31","low_risk"
